silva closed,gg closed,silva denovo,gg denovo,silva open,gg open
2523,2239,2842,2818,3195,3123
2564,2266,3151,3140,3564,3481
2576,2275,3184,3154,3628,3523
2619,2280,3214,3229,3633,3533
2684,2373,3308,3308,3765,3688
2759,2397,3335,3327,3767,3704
2795,2433,3345,3369,3891,3763
2814,2435,3402,3380,3961,3795
2823,2442,3488,3487,3973,3806
2839,2476,3495,3502,4048,3896
2882,2512,3498,3509,4068,3922
2890,2574,3517,3511,4092,3948
2920,2590,3526,3521,4093,3956
2951,2609,3564,3573,4109,3966
2972,2611,3574,3599,4111,3978
2974,2616,3608,3640,4113,3978
2990,2629,3634,3645,4121,4001
3005,2632,3646,3661,4155,4056
3015,2636,3672,3677,4207,4073
3022,2651,3683,3704,4225,4093
3039,2667,3706,3715,4248,4097
3046,2678,3742,3722,4275,4099
3051,2688,3782,3815,4286,4159
3140,2718,3811,3830,4416,4264
3149,2773,3987,4010,4440,4290
3266,2833,4019,4031,4557,4368
3276,2859,4057,4053,4588,4406
3371,2909,4149,4168,4702,4538
,,7431,7442,6932,6707
